open-time,open,high,low,close,volume,close-time,quote-asset-volume,num-of-trades,taker-buy-base-asset-vol,taker-buy-quote-asset-vol,ignore
1588568400000,0.21193000,0.21226000,0.20713000,0.20933000,11224575.00000000,1588571999999,2346254.56399200,6809,5397957.20000000,1127563.63316900,0
1588572000000,0.20937000,0.21111000,0.20935000,0.21067000,4714114.20000000,1588575599999,991766.37558300,3035,2167596.00000000,456069.90802500,0
1588575600000,0.21058000,0.21144000,0.20919000,0.21134000,3978048.50000000,1588579199999,836791.32953600,2661,1728298.40000000,363388.89128400,0
1588579200000,0.21131000,0.21310000,0.21125000,0.21245000,5442053.50000000,1588582799999,1154365.54925500,3125,2560293.10000000,543105.07236300,0
1588582800000,0.21243000,0.21262000,0.20957000,0.21000000,6156733.00000000,1588586399999,1297218.61847200,3389,2778110.50000000,585085.41686300,0
1588586400000,0.21006000,0.21232000,0.21000000,0.21113000,5884275.80000000,1588589999999,1244056.42278000,3058,2417039.70000000,510760.18833100,0
1588590000000,0.21113000,0.21236000,0.21013000,0.21188000,3224171.20000000,1588593599999,682095.83594100,2444,1551950.00000000,328158.17203800,0
1588593600000,0.21186000,0.21783000,0.21079000,0.21517000,15122903.90000000,1588597199999,3256424.59655100,8039,7924760.20000000,1706183.43552400,0
1588597200000,0.21523000,0.21940000,0.21520000,0.21918000,8675377.00000000,1588600799999,1886902.41311000,4880,4279259.80000000,931036.58897300,0
1588600800000,0.21919000,0.21949000,0.21670000,0.21698000,7189351.30000000,1588604399999,1566685.40158600,3593,3248340.80000000,708157.02430700,0
1588604400000,0.21698000,0.21856000,0.21682000,0.21829000,3702408.10000000,1588607999999,805433.85362900,2422,2142209.50000000,465983.07325200,0
1588608000000,0.21829000,0.21900000,0.21630000,0.21772000,7400962.80000000,1588611599999,1609060.93092000,3454,3317326.60000000,721174.70217100,0
1588611600000,0.21772000,0.21816000,0.21505000,0.21633000,5115785.00000000,1588615199999,1106818.24819200,3094,2098817.30000000,453914.40179800,0
1588615200000,0.21633000,0.21764000,0.21621000,0.21690000,3883048.20000000,1588618799999,842244.61000000,2240,2108547.90000000,457313.76523000,0
1588618800000,0.21698000,0.21774000,0.21614000,0.21692000,4545002.10000000,1588622399999,985821.24932800,2633,2219986.30000000,481445.28292800,0
1588622400000,0.21695000,0.21930000,0.21668000,0.21881000,5424820.90000000,1588625999999,1183499.47954100,2968,2201261.70000000,480199.11353500,0
1588626000000,0.21881000,0.21942000,0.21772000,0.21913000,3229636.70000000,1588629599999,705915.67690800,1980,1739271.30000000,380155.54242000,0
1588629600000,0.21913000,0.21978000,0.21767000,0.21775000,4655355.20000000,1588633199999,1019197.81515300,2568,2168932.40000000,474798.19851600,0
1588633200000,0.21775000,0.21898000,0.21673000,0.21776000,4648411.60000000,1588636799999,1012699.08468200,2555,2138129.60000000,465663.47542200,0
1588636800000,0.21777000,0.21972000,0.21776000,0.21972000,3567069.40000000,1588640399999,779983.85807100,2228,1499535.80000000,327977.20546600,0
1588640400000,0.21970000,0.21977000,0.21773000,0.21929000,3963767.40000000,1588643999999,867199.89023500,2406,1752507.60000000,383439.95122700,0
1588644000000,0.21926000,0.21947000,0.21715000,0.21809000,3404490.20000000,1588647599999,742656.18505900,2088,1748673.80000000,381425.63466200,0
1588647600000,0.21811000,0.21884000,0.21716000,0.21844000,2862901.50000000,1588651199999,624455.69194200,1745,996874.00000000,217305.35343800,0
1588651200000,0.21837000,0.22207000,0.21837000,0.22096000,10250608.50000000,1588654799999,2253362.40135100,6181,4409894.50000000,969621.39618600,0
1588654800000,0.22096000,0.22213000,0.21992000,0.22005000,6201892.50000000,1588658399999,1372090.23794200,4437,2972595.40000000,657670.70102300,0
1588658400000,0.21997000,0.22054000,0.21852000,0.21958000,4456052.50000000,1588661999999,978319.61052300,2925,2179867.40000000,478580.42475100,0
1588662000000,0.21958000,0.22098000,0.21905000,0.21917000,4164257.40000000,1588665599999,915545.30383800,2568,1973495.20000000,433802.96317500,0
1588665600000,0.21919000,0.21995000,0.21813000,0.21979000,5230601.60000000,1588669199999,1145397.74723900,3195,2329607.10000000,510159.09650400,0
