open-time,open,high,low,close,volume,trades
1602237600,1.0008,1.0016,1.0007,1.0009,1157313.1945211517,1093
1602241200,1.0008,1.0013,1.0006,1.0009,1206548.6750243006,868
1602244800,1.0009,1.0012,1.0006,1.0007,998256.0323626208,633
1602248400,1.0007,1.0011,1.0006,1.0009,782185.8794524195,590
1602252000,1.0009,1.0015,1.0007,1.0013,923885.3985758796,725
1602255600,1.0013,1.0016,1.0008,1.001,1593586.5933863595,845
1602259200,1.001,1.0011,1.0006,1.0007,439656.3366296996,370
1602262800,1.0006,1.001,1.0006,1.0008,1013356.98021868,829
1602266400,1.0008,1.0008,1.0004,1.0007,744518.45538524,573
1602270000,1.0007,1.001,1.0004,1.0006,846226.994856581,799
1602273600,1.0006,1.0009,1.0006,1.0008,189576.3614859402,339
1602277200,1.0009,1.0009,1.0005,1.0007,239825.9290115699,257
1602280800,1.0006,1.001,1.0006,1.001,189607.7424914901,289
1602284400,1.001,1.001,1.0005,1.0007,202109.48663148,404
1602288000,1.0007,1.0009,1.0007,1.0008,109062.2579742099,247
1602291600,1.0008,1.001,1.0008,1.001,120754.03790313,241
1602295200,1.001,1.0012,1.0006,1.0006,670649.0938428298,885
1602298800,1.0006,1.0012,1.0006,1.0007,363511.6801902297,464
1602302400,1.0007,1.0008,1.0006,1.0008,173596.8771358801,259
1602306000,1.0008,1.0011,1.0006,1.0011,225971.53335455,220
1602309600,1.001,1.0012,1.0007,1.0008,227581.4716497902,285
1602313200,1.0007,1.0009,1.0007,1.0009,54570.68567238,126
1602316800,1.0008,1.0009,1.0007,1.0008,330101.1311766498,249
1602320400,1.0007,1.0008,1.0004,1.0005,332294.2036495199,270
1602324000,1.0004,1.0005,1.0004,1.0005,211696.83263695,202
1602327600,1.0004,1.0005,1.0004,1.0005,87483.85750566,182
1602331200,1.0005,1.0006,1.0004,1.0006,126043.98384646,250
1602334800,1.0005,1.0006,1.0004,1.0004,154572.65852876,358
1602338400,1.0005,1.0005,1.0004,1.0005,179808.58104696,200
1602342000,1.0005,1.0006,1.0004,1.0004,133520.6215124101,294
1602345600,1.0005,1.0007,1.0004,1.0006,128586.07065726,347
1602349200,1.0006,1.0006,1.0004,1.0006,121759.09039738,304
1602352800,1.0006,1.0007,1.0004,1.0006,265837.2289577999,388
1602356400,1.0005,1.0006,1.0004,1.0006,81055.53340355,220
1602360000,1.0006,1.0006,1.0005,1.0005,60843.70816132,136
1602363600,1.0006,1.0006,1.0005,1.0006,67527.61164442,243
1602367200,1.0006,1.0008,1.0006,1.0008,110610.8780107501,207
1602370800,1.0007,1.0008,1.0005,1.0007,228698.78989087,331
1602374400,1.0007,1.0009,1.0006,1.0007,68028.69243691,198
1602378000,1.0008,1.0008,1.0005,1.0005,54397.56655571,142
1602381600,1.0006,1.0006,1.0004,1.0005,61684.38774562,139
1602385200,1.0005,1.0006,1.0004,1.0005,34835.99130371,88
1602388800,1.0004,1.0005,1.0003,1.0003,95932.536017,310
1602392400,1.0003,1.0004,1.0003,1.0004,57983.62348071,105
1602396000,1.0003,1.0004,1.0003,1.0003,20060.98277297,57
1602399600,1.0004,1.0004,1.0002,1.0003,844104.91005055,141
1602403200,1.0003,1.0003,1.0002,1.0003,33143.73268091,76
1602406800,1.0002,1.0003,1.0002,1.0002,116794.75521484,59
1602410400,1.0002,1.0003,1.0001,1.0002,116786.4260582701,177
1602414000,1.0001,1.0003,1.0001,1.0001,161354.18854675,117
1602417600,1.0001,1.0003,1.0001,1.0003,46384.65285365,89
1602421200,1.0002,1.0006,1.0002,1.0005,538526.4123821895,306
1602424800,1.0006,1.0009,1.0003,1.0003,733002.3935932799,408
1602428400,1.0003,1.0005,1.0002,1.0004,106515.3471995699,229
1602432000,1.0003,1.0004,1.0001,1.0002,152097.5794489101,442
1602435600,1.0003,1.0003,1.0001,1.0003,115703.6700869,284
1602439200,1.0003,1.0003,1.0001,1.0001,84671.5854704999,182
1602442800,1.0001,1.0002,1.0001,1.0002,146994.0035079301,165
1602446400,1.0001,1.0002,1.0,1.0,223271.28503714,166
1602450000,1.0,1.0002,1.0,1.0,559270.3587843205,498
1602453600,1.0,1.0001,0.9999,1.0,384925.3578367201,228
1602457200,1.0,1.0002,1.0,1.0002,74350.556877,270
1602460800,1.0002,1.0005,1.0001,1.0005,111191.5171306001,331
1602464400,1.0005,1.0005,1.0003,1.0005,159131.1943939601,335
1602468000,1.0004,1.0005,1.0003,1.0005,120464.6541716901,253
1602471600,1.0005,1.0005,1.0001,1.0003,101082.54626455,213
1602475200,1.0003,1.0003,1.0002,1.0002,53845.79314346,143
1602478800,1.0002,1.0003,1.0001,1.0002,186511.9879026999,289
1602482400,1.0002,1.0003,1.0001,1.0003,429126.6459217096,229
1602486000,1.0003,1.0003,1.0,1.0001,226696.27266864,266
1602489600,1.0,1.0004,0.9999,1.0003,647309.0506998402,424
1602493200,1.0003,1.0006,1.0,1.0003,2048434.7589555213,633
1602496800,1.0003,1.0005,1.0001,1.0003,860163.5362461894,665
1602500400,1.0002,1.0007,1.0,1.0003,602705.6439867497,699
1602504000,1.0004,1.0009,1.0002,1.0007,943566.5586544208,706
1602507600,1.0006,1.0007,1.0003,1.0006,828001.2171547511,1097
1602511200,1.0006,1.0009,1.0001,1.0001,467738.8356115702,564
1602514800,1.0002,1.0009,1.0,1.0006,637012.2895709214,778
